Id,FirstName,LastName,Email,StreetAddress,City,State,Zip
1,Meghan,Woodford,mmwoodfo@asu.edu,1234 noneofyourbuisness lane,Tempe,AZ,35326
2,Delaney,Kranz,kranz@asu.edu,6434 somethingsomething road,Phoenix,AZ,65394
3,Clayton,Gravatt,clayton@gmail.com,6435 blahblahblah street,Rathdrum,ID,95932
4,Brandon,Bayles,whoknows@asu.edu,75 rural road,Tempe,AZ,61354
5,Patik,Panda,ppanda@asu.edu,643 university road,Tempe,AZ,86552
6,Gregory,Woodford,gwoody@gmail.com,53 somewhere street,Cave Creek,AZ,94323
7,Todd,Gravatt,tod@gmail.com,4932 hmmmm lane,Rathdrum,ID,94295
8,Lily,Gravatt,lily@gmail.com,23 north parkway,Post Falls,ID,29853
9,Debra,Robberts,deb@gmail.com,543 somewhere court,Los Angeles,CA,43235
10,Fayette,Dougherty,fdoughertyi@stanford.edu,6487 Pepper Wood Court,Spokane,WA,99021
11,Karel,Buttery,kbutteryn@woothemes.com,1288 Petterle Trail,Charlotte,NC,39115
12,Maria,Rawsthorne,mrawsthorneq@slate.com,609 Kedzie Alley,New York City,NY,46123
13,Deirdre,McMorrow,dmorow@gmail.com,59 up your alley,Manorville,NY,93854
14,Priscilla,Jenyns,pjenyns0@state.gov,7884 Corry Way,Helena,MT,70577
15,Karin,Joder,kjoder1@quantcast.com,03594 Florence Park,Tampa,FL,71961
16,Chadd,Stennine,cstennine2@wired.com,94148 Kings Terrace,Long Beach,CA,59721
17,Fremont,Pallaske,fpallaske3@umich.edu,16958 Forster Crossing,Atlanta,GA,10687
18,Melisa,Kerslake,mkerslake4@dion.ne.jp,283 Pawling Parkway,Dallas,TX,88632
19,Darline,Brauner,dbrauner5@biglobe.ne.jp,33 Menomonie Trail,Atlanta,GA,10687
20,Chelsy,Buckle,cbucklej@tiny.cc,38 Talisman Hill,Jacksonville,FL,57619
